City,Country,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Punta Arenas,CL,-53.16,-70.91,50.83,51.8,50,75,27.51,Fri Nov  9 11:00:00 2018
Kenai,US,60.55,-151.26,31.08,33.98,95,1,3.29,Fri Nov  9 10:56:00 2018
Butaritari,KI,3.07,172.79,82.57,82.57,100,80,4.0,Fri Nov  9 12:07:01 2018
Decatur,US,35.51,-84.79,46.87,51.98,87,90,9.17,Fri Nov  9 11:51:00 2018
Bambous Virieux,MU,-20.34,57.76,75.2,75.2,78,40,6.93,Fri Nov  9 11:00:00 2018
Tiksi,RU,71.64,128.87,-10.23,-10.23,53,0,6.53,Fri Nov  9 12:07:02 2018
Lahij,YE,13.06,44.88,66.41,66.41,99,32,2.84,Fri Nov  9 12:07:03 2018
Souillac,FR,45.6,-0.6,54.39,55.4,82,0,13.87,Fri Nov  9 11:30:00 2018
Macapa,BR,0.05,-51.07,93.2,93.2,49,40,13.87,Fri Nov  9 11:00:00 2018
Shonguy,RU,68.75,33.15,28.4,28.4,92,75,8.95,Fri Nov  9 11:30:00 2018
Yellowknife,CA,62.45,-114.38,14.0,14.0,78,90,8.05,Fri Nov  9 11:53:00 2018
Pangnirtung,CA,66.15,-65.72,14.0,14.0,61,40,4.7,Fri Nov  9 11:00:00 2018
Nome,US,30.04,-94.42,53.74,55.04,79,90,18.34,Fri Nov  9 11:53:00 2018
Murgab,TM,37.5,61.97,44.6,44.6,81,40,4.7,Fri Nov  9 12:00:00 2018
Guerrero Negro,MX,27.97,-114.04,80.54,80.54,46,0,3.85,Fri Nov  9 12:03:54 2018
Ushuaia,AR,-54.81,-68.31,45.63,46.4,65,75,33.33,Fri Nov  9 11:00:00 2018
Lavrentiya,RU,65.58,-170.99,37.52,37.52,100,76,22.68,Fri Nov  9 12:07:08 2018
Thompson,CA,55.74,-97.86,6.8,6.8,77,90,8.05,Fri Nov  9 11:40:00 2018
Dobric,RO,47.25,24.13,38.39,42.8,79,40,2.1,Fri Nov  9 11:30:00 2018
Geraldton,CA,49.72,-86.95,19.4,19.4,73,90,13.87,Fri Nov  9 11:00:00 2018
Fortuna,ES,38.18,-1.13,58.1,59.0,50,0,6.93,Fri Nov  9 11:30:00 2018
Brokopondo,SR,5.06,-54.98,87.8,87.8,66,40,11.41,Fri Nov  9 11:26:00 2018
Bredasdorp,ZA,-34.53,20.04,64.4,64.4,77,24,9.17,Fri Nov  9 11:00:00 2018
Paamiut,GL,61.99,-49.67,33.29,33.29,100,0,1.83,Fri Nov  9 12:07:11 2018
Jalu,LY,29.03,21.55,61.01,61.01,85,24,7.36,Fri Nov  9 12:07:11 2018
Namatanai,PG,-3.66,152.44,81.71,81.71,100,64,6.58,Fri Nov  9 12:07:12 2018
Qaanaaq,GL,77.48,-69.36,-9.19,-9.19,100,0,2.55,Fri Nov  9 12:07:12 2018
Tautira,PF,-17.73,-149.15,84.2,84.2,62,40,4.7,Fri Nov  9 11:30:00 2018
Port Alfred,ZA,-33.59,26.89,66.28,66.28,88,0,13.96,Fri Nov  9 12:07:13 2018
Bahia Blanca,AR,-38.72,-62.27,66.2,66.2,77,75,8.05,Fri Nov  9 11:25:00 2018
Cherskiy,RU,68.75,161.3,1.07,1.07,94,68,3.0,Fri Nov  9 12:07:14 2018
Kavaratti,IN,10.57,72.64,84.59,84.59,100,24,1.77,Fri Nov  9 12:07:14 2018
Mahdalynivka,UA,48.92,34.92,32.0,32.0,70,90,6.71,Fri Nov  9 12:00:00 2018
Biak,ID,-0.91,122.88,79.87,79.87,92,32,3.11,Fri Nov  9 12:07:15 2018
Mahebourg,MU,-20.41,57.7,75.2,75.2,78,40,6.93,Fri Nov  9 11:00:00 2018
Nanortalik,GL,60.14,-45.24,30.37,30.37,92,88,7.09,Fri Nov  9 12:07:20 2018
Melo,UY,-32.37,-54.17,85.76,85.76,53,8,6.35,Fri Nov  9 12:07:20 2018
Jevargi,IN,17.02,76.77,67.85,67.85,64,0,4.56,Fri Nov  9 12:08:32 2018
Tezu,IN,27.93,96.16,55.48,55.48,58,36,1.99,Fri Nov  9 12:07:21 2018
Chuy,UY,-33.69,-53.46,82.43,82.43,60,0,13.47,Fri Nov  9 12:07:22 2018
Hilo,US,19.71,-155.08,73.65,80.96,74,1,3.36,Fri Nov  9 10:56:00 2018
Provideniya,RU,64.42,-173.23,36.85,36.85,100,92,8.37,Fri Nov  9 12:07:23 2018
Sistranda,NO,63.73,8.83,42.8,42.8,87,0,13.87,Fri Nov  9 11:20:00 2018
Chalchihuites,MX,23.48,-103.88,72.98,72.98,27,8,4.29,Fri Nov  9 12:07:24 2018
North Bend,US,43.41,-124.22,53.96,53.96,54,1,3.36,Fri Nov  9 10:56:00 2018
Alushta,UA,44.68,34.41,53.45,53.45,100,20,6.02,Fri Nov  9 12:07:25 2018
Okhotsk,RU,59.36,143.24,-5.59,-5.59,100,0,6.58,Fri Nov  9 12:07:25 2018
Lusambo,CD,-4.97,23.44,69.92,69.92,98,0,1.99,Fri Nov  9 12:07:26 2018
Mpongwe,ZM,-13.51,28.16,67.0,67.0,66,24,8.55,Fri Nov  9 12:07:26 2018
Tuatapere,NZ,-46.13,167.69,47.69,47.69,100,20,5.08,Fri Nov  9 12:07:27 2018
Berlevag,NO,70.86,29.09,32.0,32.0,100,75,13.87,Fri Nov  9 10:50:00 2018
Bonavista,CA,48.65,-53.11,39.32,39.32,100,88,17.94,Fri Nov  9 12:07:28 2018
Launceston,AU,-41.43,147.14,50.0,50.0,93,90,12.75,Fri Nov  9 11:30:00 2018
Narsaq,GL,60.91,-46.05,26.6,26.6,73,75,3.36,Fri Nov  9 10:50:00 2018
Pevek,RU,69.7,170.27,10.97,10.97,93,64,4.9,Fri Nov  9 12:07:30 2018
North Platte,US,41.12,-100.77,21.92,21.92,47,1,12.75,Fri Nov  9 10:53:00 2018
Hermanus,ZA,-34.42,19.24,57.86,57.86,70,32,4.0,Fri Nov  9 12:07:30 2018
Castro,CL,-42.48,-73.76,53.77,53.77,100,92,2.73,Fri Nov  9 12:07:31 2018
Caravelas,BR,-17.73,-39.27,75.41,75.41,100,92,8.03,Fri Nov  9 12:07:32 2018
Esperance,TT,10.24,-61.45,82.4,82.4,78,20,5.82,Fri Nov  9 11:00:00 2018
Mangalore,IN,12.87,74.84,78.8,78.8,78,20,3.51,Fri Nov  9 11:30:00 2018
Ponta do Sol,BR,-20.63,-46.0,62.9,62.9,98,92,8.32,Fri Nov  9 12:07:33 2018
Kavieng,PG,-2.57,150.8,83.2,83.2,100,56,11.34,Fri Nov  9 12:07:34 2018
Dikson,RU,73.51,80.55,15.65,15.65,100,56,24.76,Fri Nov  9 12:07:34 2018
Dubrajpur,IN,23.79,87.38,65.51,65.51,74,0,2.77,Fri Nov  9 12:07:35 2018
Cheyenne,US,41.14,-104.82,36.91,38.84,51,1,16.11,Fri Nov  9 11:53:00 2018
Crotone,IT,39.09,17.12,55.4,55.4,93,0,2.24,Fri Nov  9 10:50:00 2018
Bilma,NE,18.69,12.92,64.25,64.25,26,0,7.65,Fri Nov  9 12:07:36 2018
Zhigansk,RU,66.77,123.37,11.96,11.96,75,76,14.97,Fri Nov  9 12:07:38 2018
Ancud,CL,-41.87,-73.83,60.43,60.43,82,20,4.52,Fri Nov  9 12:07:39 2018
Klaksvik,FO,62.23,-6.59,48.2,48.2,81,88,36.91,Fri Nov  9 11:20:00 2018
Hithadhoo,MV,-0.6,73.08,84.05,84.05,99,80,20.67,Fri Nov  9 12:07:40 2018
Nikolskoye,RU,59.7,30.79,37.4,37.4,93,90,8.95,Fri Nov  9 11:30:00 2018
Clyde,NZ,-45.19,169.32,41.17,41.17,89,56,2.33,Fri Nov  9 12:07:41 2018
Kangaatsiaq,GL,68.31,-53.46,14.48,14.48,100,0,7.02,Fri Nov  9 12:07:41 2018
Walvis Bay,NA,-22.95,14.51,59.0,59.0,82,0,4.7,Fri Nov  9 11:00:00 2018
Dovbysh,UA,50.37,27.99,30.73,30.73,78,0,3.74,Fri Nov  9 12:07:42 2018
Shimoda,JP,34.7,138.93,66.32,66.32,100,12,8.1,Fri Nov  9 12:07:42 2018
Albany,US,42.65,-73.75,41.11,42.98,80,90,4.7,Fri Nov  9 11:46:00 2018
Atuona,PF,-9.8,-139.03,79.87,79.87,100,0,11.95,Fri Nov  9 12:07:43 2018
Avarua,CK,-21.21,-159.78,77.0,77.0,78,90,13.87,Fri Nov  9 11:00:00 2018
Barcelos,PT,41.53,-8.62,60.13,60.8,93,75,23.04,Fri Nov  9 11:30:00 2018
Axim,GH,4.87,-2.24,81.98,81.98,100,8,7.09,Fri Nov  9 12:07:44 2018
Port Elizabeth,US,39.31,-74.98,53.91,57.2,87,90,14.99,Fri Nov  9 11:49:00 2018
Ilulissat,GL,69.22,-51.1,15.8,15.8,72,75,6.93,Fri Nov  9 10:50:00 2018
Kapaa,US,22.08,-159.32,79.18,80.06,79,75,4.7,Fri Nov  9 10:56:00 2018
Le Port,FR,42.87,1.37,25.73,25.73,88,8,1.77,Fri Nov  9 12:07:46 2018
Katsuura,JP,33.93,134.5,56.87,56.87,96,0,10.38,Fri Nov  9 12:07:46 2018
Havre-Saint-Pierre,CA,50.23,-63.6,41.0,41.0,56,90,8.05,Fri Nov  9 11:00:00 2018
Ajuchitlan,MX,20.72,-100.02,75.2,75.2,38,40,5.82,Fri Nov  9 10:46:00 2018
Sept-Iles,CA,50.2,-66.38,37.4,37.4,55,75,13.87,Fri Nov  9 11:00:00 2018
Tandil,AR,-37.33,-59.14,87.8,87.8,48,40,13.87,Fri Nov  9 11:12:00 2018
Bathsheba,BB,13.22,-59.52,82.4,82.4,78,75,16.11,Fri Nov  9 11:00:00 2018
Kifri,IQ,34.69,44.96,46.43,46.43,82,8,1.61,Fri Nov  9 12:07:48 2018
Tabou,CI,4.42,-7.36,82.75,82.75,97,0,8.88,Fri Nov  9 12:07:49 2018
Teya,MX,21.05,-89.07,91.4,91.4,43,75,4.7,Fri Nov  9 11:44:00 2018
Sur,OM,22.57,59.53,78.92,78.92,98,0,5.53,Fri Nov  9 12:07:50 2018
Torbay,CA,47.66,-52.73,42.8,42.8,60,75,21.92,Fri Nov  9 11:00:00 2018
Vila Franca do Campo,PT,37.72,-25.43,68.0,68.0,88,75,21.92,Fri Nov  9 11:30:00 2018
Hobart,AU,-42.88,147.33,51.8,51.8,71,75,10.29,Fri Nov  9 11:30:00 2018
Sorong,ID,-0.86,131.25,80.9,80.9,100,44,6.02,Fri Nov  9 12:07:52 2018
Shalyhyne,UA,51.58,34.1,31.45,31.45,98,80,3.29,Fri Nov  9 12:07:53 2018
Cidreira,BR,-30.17,-50.22,76.18,76.18,71,0,15.64,Fri Nov  9 12:07:53 2018
Arraial do Cabo,BR,-22.97,-42.02,69.8,69.8,94,90,11.41,Fri Nov  9 11:35:00 2018
Sechura,PE,-5.56,-80.82,76.4,76.4,72,0,13.18,Fri Nov  9 12:07:54 2018
Faanui,PF,-16.48,-151.75,80.63,80.63,100,76,23.87,Fri Nov  9 12:07:55 2018
East London,ZA,-33.02,27.91,68.39,68.39,100,0,18.1,Fri Nov  9 12:07:55 2018
Mar del Plata,AR,-46.43,-67.52,60.25,60.25,56,32,10.83,Fri Nov  9 12:07:56 2018
Manosque,FR,43.83,5.78,60.8,60.8,77,0,11.41,Fri Nov  9 11:30:00 2018
Vostok,RU,46.45,135.83,30.86,30.86,86,88,5.86,Fri Nov  9 12:07:56 2018
San Rafael,AR,-34.61,-68.33,83.96,83.96,23,0,3.85,Fri Nov  9 12:07:57 2018
Airai,TL,-8.93,125.41,64.7,64.7,84,0,1.72,Fri Nov  9 12:07:58 2018
Coihaique,CL,-45.58,-72.07,62.6,62.6,51,75,10.29,Fri Nov  9 11:00:00 2018
Westport,IE,53.8,-9.52,46.4,46.4,93,75,13.87,Fri Nov  9 11:00:00 2018
Kahului,US,20.89,-156.47,78.44,82.04,67,20,6.87,Fri Nov  9 10:56:00 2018
Lakatoro,VU,-16.11,167.42,76.9,76.9,95,44,8.14,Fri Nov  9 12:08:00 2018
Cotonou,BJ,6.37,2.43,82.4,82.4,83,40,9.17,Fri Nov  9 11:00:00 2018
Quelimane,MZ,-17.88,36.89,73.4,73.4,73,20,2.24,Fri Nov  9 11:00:00 2018
Talcahuano,CL,-36.72,-73.12,59.0,59.0,93,90,11.41,Fri Nov  9 11:00:00 2018
Kumluca,TR,36.37,30.29,39.77,39.77,98,0,1.61,Fri Nov  9 12:08:02 2018
Tessalit,ML,20.2,1.01,67.31,67.31,25,0,7.31,Fri Nov  9 12:08:02 2018
Gizo,IL,31.8,34.94,68.83,69.8,52,0,4.7,Fri Nov  9 11:50:00 2018
Saint-Philippe,CA,45.36,-73.48,36.46,39.2,78,90,4.7,Fri Nov  9 11:55:00 2018
Tasiilaq,GL,65.61,-37.64,33.8,33.8,80,40,9.17,Fri Nov  9 10:50:00 2018
Talaya,RU,55.79,84.89,-1.86,-1.86,82,20,8.03,Fri Nov  9 12:08:04 2018
Haines Junction,CA,60.75,-137.51,13.31,13.31,94,64,2.62,Fri Nov  9 12:08:04 2018
Meulaboh,ID,4.14,96.13,76.22,76.22,100,100,6.76,Fri Nov  9 12:08:05 2018
Ugra,RU,54.78,34.32,31.22,31.22,98,88,4.0,Fri Nov  9 12:08:05 2018
Vila Velha,BR,-3.71,-38.6,84.2,84.2,70,20,16.11,Fri Nov  9 11:00:00 2018
Bataipora,BR,-22.3,-53.27,79.37,79.37,65,88,12.28,Fri Nov  9 12:08:06 2018
Norton Shores,US,43.17,-86.26,33.91,35.06,88,90,14.99,Fri Nov  9 11:42:00 2018
Svetlogorsk,RU,53.14,59.15,12.2,12.2,66,90,6.71,Fri Nov  9 11:30:00 2018
Qasigiannguit,GL,68.82,-51.19,15.8,15.8,72,75,6.93,Fri Nov  9 10:50:00 2018
Riyadh,SA,24.63,46.72,62.6,62.6,93,75,3.36,Fri Nov  9 12:00:00 2018
Dongsheng,CN,29.72,112.52,51.97,51.97,98,80,6.13,Fri Nov  9 12:08:08 2018
Hibbing,US,47.43,-92.94,20.17,21.74,73,75,10.29,Fri Nov  9 11:35:00 2018
Upernavik,GL,72.79,-56.15,16.15,16.15,100,0,13.13,Fri Nov  9 12:08:09 2018
Viedma,AR,-40.81,-62.99,72.26,72.26,32,56,13.13,Fri Nov  9 12:08:10 2018
Saint-Leu,RE,-21.15,55.28,74.26,75.2,69,90,3.36,Fri Nov  9 11:30:00 2018
Xiaoweizhai,CN,26.23,107.51,58.58,58.58,97,92,7.58,Fri Nov  9 12:08:10 2018
Hofn,IS,64.25,-15.21,46.4,46.4,81,90,19.46,Fri Nov  9 11:00:00 2018
Marsh Harbour,BS,26.54,-77.06,78.07,78.07,100,88,10.38,Fri Nov  9 12:06:39 2018
Batagay,RU,67.65,134.64,-23.68,-23.68,35,44,2.77,Fri Nov  9 12:08:11 2018
Areosa,PT,41.72,-8.86,59.0,59.0,93,75,19.46,Fri Nov  9 11:44:00 2018
Ribeira Grande,PT,38.52,-28.7,68.0,68.0,82,75,16.11,Fri Nov  9 11:30:00 2018
Jinchang,CN,38.52,102.19,22.63,22.63,72,48,4.9,Fri Nov  9 12:08:13 2018
Bojnurd,IR,37.47,57.33,44.6,44.6,75,0,2.24,Fri Nov  9 11:00:00 2018
Constitucion,MX,23.99,-104.67,71.6,71.6,28,5,5.82,Fri Nov  9 11:44:00 2018
Kaitangata,NZ,-46.28,169.85,47.38,47.38,90,48,4.56,Fri Nov  9 12:08:14 2018
Matsumoto,JP,36.24,137.97,49.58,49.58,100,88,1.99,Fri Nov  9 12:08:14 2018
Hanting,CN,30.92,118.55,47.87,47.87,93,88,8.43,Fri Nov  9 12:08:15 2018
Pitimbu,BR,-7.47,-34.81,82.4,82.4,65,40,13.87,Fri Nov  9 11:00:00 2018
Pisco,PE,-13.71,-76.2,71.6,71.6,30,0,16.11,Fri Nov  9 11:00:00 2018
Cape Town,ZA,-33.93,18.42,64.4,64.4,72,0,10.29,Fri Nov  9 11:00:00 2018
Carnarvon,ZA,-30.97,22.13,52.78,52.78,16,0,5.57,Fri Nov  9 12:08:16 2018
Kisoro,UG,-1.28,29.69,53.99,53.99,86,8,3.29,Fri Nov  9 12:08:17 2018
Belaya Gora,RU,68.54,146.19,-32.86,-32.86,59,0,2.89,Fri Nov  9 12:08:17 2018
Padang,ID,-0.92,100.36,82.34,82.34,100,76,5.91,Fri Nov  9 12:08:18 2018
Pampa,US,35.54,-100.96,51.67,51.98,38,1,6.93,Fri Nov  9 11:51:00 2018
Hamilton,BM,32.3,-64.78,77.0,77.0,83,75,11.41,Fri Nov  9 10:55:00 2018
Puerto Ayora,EC,-0.74,-90.35,80.6,80.6,65,0,23.04,Fri Nov  9 11:00:00 2018
Vidim,CZ,50.47,14.53,48.2,48.2,87,90,3.36,Fri Nov  9 11:30:00 2018
Kiunga,PG,-6.12,141.3,73.12,73.12,98,92,2.84,Fri Nov  9 12:08:21 2018
Dwarka,IN,28.58,77.04,60.8,60.8,82,0,2.39,Fri Nov  9 11:30:00 2018
Diffa,NE,13.32,12.61,68.84,68.84,20,0,8.03,Fri Nov  9 12:08:22 2018
Los Llanos de Aridane,ES,28.66,-17.92,68.0,68.0,77,75,10.29,Fri Nov  9 11:30:00 2018
Orsha,BY,54.51,30.43,35.23,35.23,98,88,5.41,Fri Nov  9 12:08:23 2018
Poum,MK,41.28,20.71,39.2,39.2,80,0,3.36,Fri Nov  9 12:00:00 2018
Tuktoyaktuk,CA,69.44,-133.03,21.2,21.2,85,90,6.93,Fri Nov  9 11:00:00 2018
Marawi,PH,8.0,124.29,64.61,64.61,100,12,1.88,Fri Nov  9 12:08:25 2018
Oskemen,KZ,49.96,82.61,21.2,21.2,92,90,6.71,Fri Nov  9 11:00:00 2018
Norman Wells,CA,65.28,-126.83,12.2,12.2,92,75,14.99,Fri Nov  9 11:17:00 2018
Ereymentau,KZ,51.62,73.1,-4.11,-4.11,77,36,3.29,Fri Nov  9 12:08:27 2018
Vrangel,RU,42.73,133.08,48.28,48.28,100,0,25.59,Fri Nov  9 12:08:27 2018
Maldonado,UY,-34.91,-54.96,87.8,87.8,45,75,9.17,Fri Nov  9 11:00:00 2018
Aksarka,RU,66.56,67.8,14.08,14.08,80,68,19.44,Fri Nov  9 12:08:29 2018
Longyearbyen,NO,78.22,15.63,33.8,33.8,74,75,10.29,Fri Nov  9 10:50:00 2018
Cam Ranh,VN,11.92,109.15,76.72,76.72,98,80,10.27,Fri Nov  9 12:08:30 2018
Talnakh,RU,69.49,88.39,-29.49,-29.49,47,0,5.53,Fri Nov  9 12:08:30 2018
Kruisfontein,ZA,-34.0,24.73,61.55,61.55,84,0,13.35,Fri Nov  9 12:08:31 2018
Port Said,EG,25.34,30.55,57.59,57.59,52,0,4.63,Fri Nov  9 12:08:31 2018
Santa Maria,BR,-29.69,-53.81,89.6,89.6,40,20,9.17,Fri Nov  9 11:00:00 2018
Lompoc,US,34.64,-120.46,74.66,80.06,15,1,4.7,Fri Nov  9 11:35:00 2018
Sao Filipe,CV,14.9,-24.5,80.36,80.36,87,88,18.16,Fri Nov  9 12:08:34 2018
Bad Munstereifel,DE,50.55,6.77,51.76,55.4,93,40,4.7,Fri Nov  9 11:41:00 2018
Deputatskiy,RU,69.3,139.9,-24.31,-24.31,35,36,3.78,Fri Nov  9 12:08:35 2018
Goderich,CA,43.74,-81.71,37.43,37.43,100,92,13.06,Fri Nov  9 12:04:32 2018
Yar-Sale,RU,66.83,70.83,14.75,14.75,95,76,23.87,Fri Nov  9 12:08:35 2018
Loanda,BR,-22.93,-53.14,81.08,81.08,56,92,14.92,Fri Nov  9 12:08:36 2018
Thai Binh,VN,20.45,106.33,70.64,70.64,100,100,6.24,Fri Nov  9 12:08:36 2018
Yulara,AU,-25.24,130.99,66.2,66.2,42,56,5.82,Fri Nov  9 11:00:00 2018
Saskylakh,RU,71.97,114.09,-18.01,-18.01,52,64,6.58,Fri Nov  9 12:08:37 2018
Lagoa,PT,37.14,-8.45,60.8,60.8,77,0,8.05,Fri Nov  9 11:30:00 2018
Usinsk,RU,66.0,57.56,0.98,0.98,63,0,7.76,Fri Nov  9 12:08:39 2018
Seguela,CI,7.96,-6.67,79.1,79.1,71,24,7.36,Fri Nov  9 12:08:39 2018
Qiongshan,CN,20.01,110.35,73.4,73.4,100,20,4.47,Fri Nov  9 12:00:00 2018
Nishihara,JP,35.74,139.53,59.86,62.6,98,90,3.56,Fri Nov  9 12:00:00 2018
Biratnagar,NP,26.46,87.28,59.3,59.3,83,0,2.89,Fri Nov  9 12:08:40 2018
Maceio,BR,-9.67,-35.74,80.6,80.6,74,40,18.34,Fri Nov  9 11:00:00 2018
Lehigh Acres,US,26.63,-81.62,85.98,87.08,47,40,3.36,Fri Nov  9 10:53:00 2018
Touba,SN,14.86,-15.88,81.4,81.4,45,0,2.84,Fri Nov  9 12:08:41 2018
Lorengau,PG,-2.02,147.27,84.32,84.32,100,76,7.09,Fri Nov  9 12:08:42 2018
Oistins,BB,13.07,-59.53,80.6,80.6,83,75,14.99,Fri Nov  9 12:00:00 2018
Iqaluit,CA,63.75,-68.52,14.0,14.0,78,75,4.7,Fri Nov  9 11:00:00 2018
Moose Factory,CA,51.26,-80.61,24.8,24.8,68,90,3.36,Fri Nov  9 11:00:00 2018
Udgir,IN,18.39,77.12,67.13,67.13,78,0,2.77,Fri Nov  9 12:08:43 2018
Morondava,MG,-20.3,44.28,76.67,76.67,78,0,9.44,Fri Nov  9 12:08:44 2018
Waddan,LY,29.16,16.14,51.38,51.38,82,32,4.52,Fri Nov  9 12:08:44 2018
Dunmore East,IE,52.15,-6.99,50.75,50.75,99,32,19.73,Fri Nov  9 12:08:45 2018
Araouane,ML,18.9,-3.53,74.33,74.33,24,0,8.43,Fri Nov  9 12:08:45 2018
Avanigadda,IN,16.02,80.92,76.22,76.22,90,0,5.91,Fri Nov  9 12:08:45 2018
Le Marin,MQ,14.47,-60.87,78.93,80.6,88,92,8.05,Fri Nov  9 12:00:00 2018
Micheweni,TZ,-4.97,39.83,80.32,80.32,98,0,10.67,Fri Nov  9 12:08:46 2018
Ozinki,RU,51.2,49.73,34.42,34.42,73,88,5.41,Fri Nov  9 12:08:47 2018
Fort-Shevchenko,KZ,44.51,50.26,36.89,36.89,100,8,4.0,Fri Nov  9 12:08:47 2018
Isangel,VU,-19.55,169.27,77.48,77.48,97,68,15.7,Fri Nov  9 12:08:47 2018
Grindavik,IS,63.84,-22.43,45.68,46.4,81,75,14.99,Fri Nov  9 11:30:00 2018
Taiping,MY,4.85,100.74,75.2,75.2,94,75,5.82,Fri Nov  9 11:00:00 2018
Mitsamiouli,KM,-11.38,43.28,80.6,80.6,69,20,19.46,Fri Nov  9 11:00:00 2018
Ucluelet,CA,48.94,-125.55,46.4,46.4,93,90,1.61,Fri Nov  9 11:00:00 2018
Inhambane,MZ,-23.87,35.38,66.5,66.5,100,0,9.66,Fri Nov  9 12:08:50 2018
Lumeje,AO,-11.56,20.78,65.2,65.2,92,88,4.79,Fri Nov  9 12:08:51 2018
Rivadavia,AR,-31.53,-68.59,89.95,89.95,30,0,4.63,Fri Nov  9 12:08:51 2018
Otanche,CO,5.66,-74.18,74.02,74.02,89,36,1.88,Fri Nov  9 12:08:51 2018
The Valley,AI,18.22,-63.06,84.2,84.2,74,20,6.93,Fri Nov  9 12:00:00 2018
Yashkul,RU,46.17,45.34,43.1,43.1,98,92,4.79,Fri Nov  9 12:08:52 2018
Najran,SA,17.54,44.22,77.0,77.0,33,40,4.85,Fri Nov  9 11:00:00 2018
Bo Rai,TH,12.57,102.54,71.54,71.54,100,88,2.73,Fri Nov  9 12:08:53 2018
Kilindoni,TZ,-7.91,39.67,80.5,80.5,100,64,13.58,Fri Nov  9 12:08:54 2018
Ambon,FR,47.55,-2.56,51.8,51.8,93,92,31.09,Fri Nov  9 11:30:00 2018
General Roca,AR,-39.03,-67.58,86.0,86.0,16,0,5.82,Fri Nov  9 11:00:00 2018
Ust-Uda,RU,54.17,103.03,24.47,24.47,89,64,1.5,Fri Nov  9 12:08:55 2018
Kodiak,US,39.95,-94.76,28.04,28.04,84,90,31.09,Fri Nov  9 11:22:00 2018
Uribia,CO,11.71,-72.27,84.59,84.59,89,24,7.43,Fri Nov  9 12:08:56 2018
Olga,US,34.11,-118.17,77.61,82.04,4,1,5.82,Fri Nov  9 10:58:00 2018
Mosquera,CO,4.71,-74.23,59.0,59.0,82,40,11.41,Fri Nov  9 11:00:00 2018
Puerto Escondido,MX,15.86,-97.07,87.8,87.8,66,40,5.82,Fri Nov  9 11:45:00 2018
Puerto Penasco,MX,31.32,-113.53,74.38,74.38,87,0,16.71,Fri Nov  9 12:05:19 2018
Zyryanovsk,KZ,49.74,84.27,26.9,26.9,94,88,2.89,Fri Nov  9 12:08:58 2018
Hasaki,JP,35.73,140.83,59.86,60.8,100,75,3.36,Fri Nov  9 12:00:00 2018
Juneau,US,58.3,-134.42,41.0,41.0,100,20,4.7,Fri Nov  9 11:34:00 2018
Chokurdakh,RU,70.62,147.9,-24.67,-24.67,38,0,7.65,Fri Nov  9 12:09:00 2018
Bethel,US,60.79,-161.76,32.0,32.0,92,40,16.11,Fri Nov  9 10:53:00 2018
Auki,NG,12.18,6.51,68.53,68.53,27,0,6.87,Fri Nov  9 12:09:02 2018
Victoria,BN,5.28,115.24,80.58,82.4,78,75,2.24,Fri Nov  9 11:30:00 2018
Rio Verde de Mato Grosso,BR,-18.92,-54.84,81.67,81.67,69,88,4.0,Fri Nov  9 12:09:03 2018
Odessa,US,31.85,-102.37,51.78,53.06,44,1,16.11,Fri Nov  9 11:53:00 2018
